Year,Month,Day of the Year
2021,4,98
2021,4,99
2021,4,100
2021,4,101
2021,4,102
2021,4,103
2021,4,104
2021,4,105
2021,4,106
2021,4,107
2021,4,108
2021,4,109
2021,4,110
2021,4,111
2021,4,112
2021,4,113
2021,4,114
2021,4,115
2021,4,116
2021,4,117
2021,4,118
2021,4,119
2021,4,120
2021,5,121
2021,5,122
2021,5,123
2021,5,124
2021,5,125
2021,5,126
2021,5,127
2021,5,128
2021,5,129
2021,5,130
2021,5,131
2021,5,132
2021,5,133
2021,5,134
2021,5,135
2021,5,136
2021,5,137
2021,5,138
2021,5,139
2021,5,140
2021,5,141
2021,5,142
2021,5,143
2021,5,144
2021,5,145
2021,5,146
2021,5,147
2021,5,148
2021,5,149
2021,5,150
2021,5,151
2021,6,152
2021,6,153
2021,6,154
2021,6,155
2021,6,156
2021,6,157
2021,6,158
2021,6,159
2021,6,160
2021,6,161
2021,6,162
2021,6,163
2021,6,164
2021,6,165
2021,6,166
2021,6,167
2021,6,168
2021,6,169
2021,6,170
2021,6,171
2021,6,172
2021,6,173
2021,6,174
2021,6,175
2021,6,176
2021,6,177
2021,6,178
2021,6,179
2021,6,180
2021,6,181
2021,7,182
2021,7,183
2021,7,184
2021,7,185
2021,7,186
2021,7,187
2021,7,188
2021,7,189
2021,7,190
2021,7,191
2021,7,192
2021,7,193
2021,7,194
2021,7,195
2021,7,196
2021,7,197
2021,7,198
2021,7,199
2021,7,200
2021,7,201
2021,7,202
2021,7,203
2021,7,204
2021,7,205
2021,7,206
2021,7,207
2021,7,208
2021,7,209
2021,7,210
2021,7,211
2021,7,212
2021,8,213
2021,8,214
2021,8,215
2021,8,216
2021,8,217
2021,8,218
2021,8,219
2021,8,220
2021,8,221
2021,8,222
2021,8,223
2021,8,224
2021,8,225
2021,8,226
2021,8,227
2021,8,228
2021,8,229
2021,8,230
2021,8,231
2021,8,232
2021,8,233
2021,8,234
2021,8,235
2021,8,236
2021,8,237
2021,8,238
2021,8,239
2021,8,240
2021,8,241
2021,8,242
2021,8,243