Geo Point,Geo Shape,prop_id,addresspt1,addressp_1,asset_clas,asset_type,objectid,str_id,addresspt_,model_desc,mcc_id,roadseg_id,descriptio,model_no
"-37.80384165792465, 144.93239283833262","{""coordinates"": [144.93239283833262, -37.80384165792465], ""type"": ""Point""}",0,76.81982435,357,Signage,Sign - Public Transport,355,1235255,570648,Sign - Public Transport 1 Panel,1235255,21673,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.81548699581418, 144.9581794249902","{""coordinates"": [144.9581794249902, -37.81548699581418], ""type"": ""Point""}",0,21.56130407,83,Signage,Sign - Public Transport,600,1231226,548056,Sign - Public Transport 1 Panel,1231226,20184,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81353897396532, 144.95728334230756","{""coordinates"": [144.95728334230756, -37.81353897396532], ""type"": ""Point""}",0,42.17718722,207,Signage,Sign - Public Transport,640,1237092,543382,Sign - Public Transport 1 Panel,1237092,20186,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82191394843844, 144.95539345270072","{""coordinates"": [144.95539345270072, -37.82191394843844], ""type"": ""Point""}",0,15.86043382,181,Signage,Sign - Public Transport,918,1232777,103975,Sign - Public Transport 1 Panel,1232777,22174,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.83316401267591, 144.97443745130263","{""coordinates"": [144.97443745130263, -37.83316401267591], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,1029,1271914,0,Sign - Public Transport 1 Panel,1271914,22708,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79436108568101, 144.92998424529242","{""coordinates"": [144.92998424529242, -37.79436108568101], ""type"": ""Point""}",0,3.10572182,112,Signage,Sign - Public Transport,1139,1577059,616011,Sign - Public Transport 1 Panel,1577059,21693,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.817452093555325, 144.96168480565794","{""coordinates"": [144.96168480565794, -37.817452093555325], ""type"": ""Point""}",0,7.23972603,268,Signage,Sign - Public Transport,1263,1481028,527371,Sign - Public Transport 1 Panel,1481028,20171,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.82146476463953, 144.9303191551562","{""coordinates"": [144.9303191551562, -37.82146476463953], ""type"": ""Point""}",0,32.18066371,298,Signage,Sign - Public Transport,2527,1245221,110521,Sign - Public Transport 1 Panel,1245221,30638,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.837547087144706, 144.98191138368836","{""coordinates"": [144.98191138368836, -37.837547087144706], ""type"": ""Point""}",0,41.44116655,78,Signage,Sign - Public Transport,2922,1248743,107419,Sign - Public Transport 1 Panel,1248743,22245,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.812490976626215, 144.95370614040704","{""coordinates"": [144.95370614040704, -37.812490976626215], ""type"": ""Point""}",0,16.14376437,99,Signage,Sign - Public Transport,5111,1253565,602160,Sign - Public Transport 1 Panel,1253565,20030,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.80568178285169, 144.9538874178126","{""coordinates"": [144.9538874178126, -37.80568178285169], ""type"": ""Point""}",0,13.19581543,295,Signage,Sign - Public Transport,6253,1257184,533738,Sign - Public Transport 1 Panel,1257184,20951,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81046893573314, 144.95002330947514","{""coordinates"": [144.95002330947514, -37.81046893573314], ""type"": ""Point""}",0,9.84831407,130,Signage,Sign - Public Transport,6308,1253494,608842,Sign - Public Transport 1 Panel,1253494,21486,Sign - Public Transport 1 Panel Bus Stop Type 11,P.16
"-37.8019227781844, 144.91933001451295","{""coordinates"": [144.91933001451295, -37.8019227781844], ""type"": ""Point""}",0,35.06624367,309,Signage,Sign - Public Transport,6407,1235296,102993,Sign - Public Transport 1 Panel,1235296,21680,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.79643544425749, 144.95105741007433","{""coordinates"": [144.95105741007433, -37.79643544425749], ""type"": ""Point""}",0,41.43510194,1,Signage,Sign - Public Transport,7621,1250709,104198,Sign - Public Transport 1 Panel,1250709,20921,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81284286140822, 144.95705739709712","{""coordinates"": [144.95705739709712, -37.81284286140822], ""type"": ""Point""}",0,24.10362334,104,Signage,Sign - Public Transport,7768,1568360,110758,Sign - Public Transport 1 Panel,1568360,20186,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.82622493578387, 144.96073232156283","{""coordinates"": [144.96073232156283, -37.82622493578387], ""type"": ""Point""}",0,36.61689529,251,Signage,Sign - Public Transport,8972,1240004,110636,Sign - Public Transport 1 Panel,1240004,22043,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.80147783382775, 144.91338439418467","{""coordinates"": [144.91338439418467, -37.80147783382775], ""type"": ""Point""}",0,25.22880845,178,Signage,Sign - Public Transport,9717,1235877,102985,Sign - Public Transport 1 Panel,1235877,21683,Sign - Public Transport 1 Panel Bus Stop Type 11,P.16
"-37.81925793836065, 144.96137134270353","{""coordinates"": [144.96137134270353, -37.81925793836065], ""type"": ""Point""}",0,20.83965494,92,Signage,Sign - Public Transport,10046,1245491,627343,Sign - Public Transport 1 Panel,1245491,20218,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.823393054989104, 144.9697464050253","{""coordinates"": [144.9697464050253, -37.823393054989104], ""type"": ""Point""}",0,17.58473113,291,Signage,Sign - Public Transport,10991,1239427,566451,Sign - Public Transport 1 Panel,1239427,22080,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79632349721997, 144.94669442099848","{""coordinates"": [144.94669442099848, -37.79632349721997], ""type"": ""Point""}",0,10.89268323,359,Signage,Sign - Public Transport,11027,1249807,500200,Sign - Public Transport 1 Panel,1249807,21232,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82168352630472, 144.96129766991564","{""coordinates"": [144.96129766991564, -37.82168352630472], ""type"": ""Point""}",0,14.41924388,202,Signage,Sign - Public Transport,11296,1233064,570575,Sign - Public Transport 1 Panel,1233064,22563,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.80868206462129, 144.94871799084606","{""coordinates"": [144.94871799084606, -37.80868206462129], ""type"": ""Point""}",0,3.71203798,253,Signage,Sign - Public Transport,11572,1256981,108865,Sign - Public Transport 1 Panel,1256981,21423,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.80936279878404, 144.95558831833387","{""coordinates"": [144.95558831833387, -37.80936279878404], ""type"": ""Point""}",0,41.78250894,65,Signage,Sign - Public Transport,12010,1448084,514908,Sign - Public Transport 1 Panel,1448084,21528,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.79382711275603, 144.9712669861909","{""coordinates"": [144.9712669861909, -37.79382711275603], ""type"": ""Point""}",0,3.80221475,321,Signage,Sign - Public Transport,12205,1234089,108220,Sign - Public Transport 1 Panel,1234089,20639,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.80047456029286, 144.91681504215674","{""coordinates"": [144.91681504215674, -37.80047456029286], ""type"": ""Point""}",0,4.80210839,8,Signage,Sign - Public Transport,12390,1579425,105224,Sign - Public Transport 1 Panel,1579425,21843,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.80357727969363, 144.93206072785097","{""coordinates"": [144.93206072785097, -37.80357727969363], ""type"": ""Point""}",0,53.3591988,147,Signage,Sign - Public Transport,12777,1579415,103008,Sign - Public Transport 1 Panel,1579415,21675,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.81916651372429, 144.96197776773317","{""coordinates"": [144.96197776773317, -37.81916651372429], ""type"": ""Point""}",0,8.68293188,289,Signage,Sign - Public Transport,12946,1345095,639652,Sign - Public Transport 1 Panel,1345095,20218,Sign - Public Transport 1 Panel Bus Stop Type 12,P.16
"-37.80256698905951, 144.96650544429707","{""coordinates"": [144.96650544429707, -37.80256698905951], ""type"": ""Point""}",0,24.94990559,346,Signage,Sign - Public Transport,13491,1240329,627268,Sign - Public Transport 1 Panel,1240329,20528,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.82590463494035, 144.9222805585589","{""coordinates"": [144.9222805585589, -37.82590463494035], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,14494,1344568,0,Sign - Public Transport 1 Panel,1344568,22149,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.828445979568414, 144.96574937670476","{""coordinates"": [144.96574937670476, -37.828445979568414], ""type"": ""Point""}",0,13.31943006,231,Signage,Sign - Public Transport,15159,1239231,110625,Sign - Public Transport 1 Panel,1239231,22118,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82480198399865, 144.97076232908503","{""coordinates"": [144.97076232908503, -37.82480198399865], ""type"": ""Point""}",0,26.35338346,200,Signage,Sign - Public Transport,15210,1239404,540076,Sign - Public Transport 1 Panel,1239404,22466,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.793085802097636, 144.97495851135966","{""coordinates"": [144.97495851135966, -37.793085802097636], ""type"": ""Point""}",0,13.45065798,218,Signage,Sign - Public Transport,15742,1247701,109095,Sign - Public Transport 1 Panel,1247701,20627,Sign - Public Transport 1 Panel Bus Stop Type 11,P.16
"-37.81313468607944, 144.9517210522907","{""coordinates"": [144.9517210522907, -37.81313468607944], ""type"": ""Point""}",0,13.98277844,334,Signage,Sign - Public Transport,17843,1253576,562944,Sign - Public Transport 1 Panel,1253576,20030,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79779448884971, 144.94406544679455","{""coordinates"": [144.94406544679455, -37.79779448884971], ""type"": ""Point""}",0,10.68317055,95,Signage,Sign - Public Transport,18489,1234412,108727,Sign - Public Transport 1 Panel,1234412,21214,Sign - Public Transport 1 Panel Bus Stop Type 12,P.16
"-37.80139083296643, 144.95672641628454","{""coordinates"": [144.95672641628454, -37.80139083296643], ""type"": ""Point""}",0,21.69632172,213,Signage,Sign - Public Transport,19093,1248470,107520,Sign - Public Transport 1 Panel,1248470,20594,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.836019039493614, 144.9755123427878","{""coordinates"": [144.9755123427878, -37.836019039493614], ""type"": ""Point""}",0,29.14203081,30,Signage,Sign - Public Transport,19695,1255342,529564,Sign - Public Transport 1 Panel,1255342,22470,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.77939815716074, 144.9601599346738","{""coordinates"": [144.9601599346738, -37.77939815716074], ""type"": ""Point""}",0,39.94329877,175,Signage,Sign - Public Transport,19799,1252358,108524,Sign - Public Transport 1 Panel,1252358,22393,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.83654500710552, 144.98680793880067","{""coordinates"": [144.98680793880067, -37.83654500710552], ""type"": ""Point""}",0,17.18439679,89,Signage,Sign - Public Transport,20193,1248655,107820,Sign - Public Transport 1 Panel,1248655,22300,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.81496421167442, 144.9523146850266","{""coordinates"": [144.9523146850266, -37.81496421167442], ""type"": ""Point""}",0,25.38230139,242,Signage,Sign - Public Transport,20421,1253844,611234,Sign - Public Transport 1 Panel,1253844,20077,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.78766752944717, 144.95913336071771","{""coordinates"": [144.95913336071771, -37.78766752944717], ""type"": ""Point""}",0,53.92558496,132,Signage,Sign - Public Transport,20790,1252331,529045,Sign - Public Transport 1 Panel,1252331,22433,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.83597702837875, 144.98205678049507","{""coordinates"": [144.98205678049507, -37.83597702837875], ""type"": ""Point""}",0,5.68280996,239,Signage,Sign - Public Transport,20985,1248730,107374,Sign - Public Transport 1 Panel,1248730,22730,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81888176511253, 144.95412220092587","{""coordinates"": [144.95412220092587, -37.81888176511253], ""type"": ""Point""}",0,14.34503015,58,Signage,Sign - Public Transport,21204,1246971,579287,Sign - Public Transport 1 Panel,1246971,20071,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.815867567322975, 144.95824209522883","{""coordinates"": [144.95824209522883, -37.815867567322975], ""type"": ""Point""}",0,63.64203904,94,Signage,Sign - Public Transport,21874,1236808,548056,Sign - Public Transport 1 Panel,1236808,20183,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.823554040273095, 144.96766430983428","{""coordinates"": [144.96766430983428, -37.823554040273095], ""type"": ""Point""}",0,67.68289635,218,Signage,Sign - Public Transport,22281,1239533,567779,Sign - Public Transport 1 Panel,1239533,22080,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.85056307604563, 144.98401830869636","{""coordinates"": [144.98401830869636, -37.85056307604563], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,22793,1255226,0,Sign - Public Transport 1 Panel,1255226,22479,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79443959174042, 144.9295031556217","{""coordinates"": [144.9295031556217, -37.79443959174042], ""type"": ""Point""}",0,2.82667366,299,Signage,Sign - Public Transport,23024,1577042,106320,Sign - Public Transport 1 Panel,1577042,21693,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.845617997463314, 144.98485133091194","{""coordinates"": [144.98485133091194, -37.845617997463314], ""type"": ""Point""}",0,19.56622421,267,Signage,Sign - Public Transport,23114,1254948,645774,Sign - Public Transport 1 Panel,1254948,22308,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82267609025617, 144.9360672354294","{""coordinates"": [144.9360672354294, -37.82267609025617], ""type"": ""Point""}",627016,6.57193564,345,Signage,Sign - Public Transport,23554,1257292,596486,Sign - Public Transport 1 Panel,1257292,0,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.78840737180099, 144.94100543358434","{""coordinates"": [144.94100543358434, -37.78840737180099], ""type"": ""Point""}",0,34.55825279,22,Signage,Sign - Public Transport,24568,1243923,101994,Sign - Public Transport 1 Panel,1243923,22426,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82158676896336, 144.9299851550984","{""coordinates"": [144.9299851550984, -37.82158676896336], ""type"": ""Point""}",0,6.0340097,200,Signage,Sign - Public Transport,25432,1245224,110520,Sign - Public Transport 1 Panel,1245224,22158,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.81807935853138, 144.96572070652604","{""coordinates"": [144.96572070652604, -37.81807935853138], ""type"": ""Point""}",0,28.00392951,126,Signage,Sign - Public Transport,26488,1560832,604383,Sign - Public Transport 1 Panel,1560832,20214,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.797718982545234, 144.97371355429843","{""coordinates"": [144.97371355429843, -37.797718982545234], ""type"": ""Point""}",0,27.13230305,262,Signage,Sign - Public Transport,26637,1241410,103056,Sign - Public Transport 1 Panel,1241410,20597,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.817826903011145, 144.95914143862726","{""coordinates"": [144.95914143862726, -37.817826903011145], ""type"": ""Point""}",0,37.0409387,135,Signage,Sign - Public Transport,26870,1245321,507646,Sign - Public Transport 1 Panel,1245321,20181,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81441952750176, 144.9544447576371","{""coordinates"": [144.9544447576371, -37.81441952750176], ""type"": ""Point""}",0,32.15648272,259,Signage,Sign - Public Transport,26969,1477822,105716,Sign - Public Transport 1 Panel,1477822,20014,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81101801255496, 144.95912232576214","{""coordinates"": [144.95912232576214, -37.81101801255496], ""type"": ""Point""}",0,21.70019438,280,Signage,Sign - Public Transport,27098,1237229,527567,Sign - Public Transport 1 Panel,1237229,20024,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82824301520561, 144.97131044726999","{""coordinates"": [144.97131044726999, -37.82824301520561], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,28118,1239035,0,Sign - Public Transport 1 Panel,1239035,22704,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79958533655315, 144.9576673729389","{""coordinates"": [144.9576673729389, -37.79958533655315], ""type"": ""Point""}",0,53.64351101,290,Signage,Sign - Public Transport,28127,1233941,633969,Sign - Public Transport 1 Panel,1233941,22514,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81313468607944, 144.9517210522907","{""coordinates"": [144.9517210522907, -37.81313468607944], ""type"": ""Point""}",0,13.98277844,334,Signage,Sign - Public Transport,28440,1252887,562944,Sign - Public Transport 1 Panel,1252887,20030,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82692534062149, 144.90290267710523","{""coordinates"": [144.90290267710523, -37.82692534062149], ""type"": ""Point""}",0,43.26397154,226,Signage,Sign - Public Transport,29149,1244907,580037,Sign - Public Transport 1 Panel,1244907,22168,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.797767642321304, 144.9741533290422","{""coordinates"": [144.9741533290422, -37.797767642321304], ""type"": ""Point""}",0,29.23997683,241,Signage,Sign - Public Transport,29611,1547409,103052,Sign - Public Transport 1 Panel,1547409,20597,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.8026621513541, 144.96975397673893","{""coordinates"": [144.96975397673893, -37.8026621513541], ""type"": ""Point""}",0,46.16875812,120,Signage,Sign - Public Transport,30149,1479412,528461,Sign - Public Transport 1 Panel,1479412,20558,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.799222676258466, 144.95073019282864","{""coordinates"": [144.95073019282864, -37.799222676258466], ""type"": ""Point""}",0,53.80754171,331,Signage,Sign - Public Transport,30396,1576816,508949,Sign - Public Transport 1 Panel,1576816,22684,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.789581766621325, 144.9688057046247","{""coordinates"": [144.9688057046247, -37.789581766621325], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,31096,1252544,0,Sign - Public Transport 1 Panel,1252544,22508,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.83180250187986, 144.9717147014062","{""coordinates"": [144.9717147014062, -37.83180250187986], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,31499,1249156,0,Sign - Public Transport 1 Panel,1249156,22467,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.82311374998954, 144.9370368413254","{""coordinates"": [144.9370368413254, -37.82311374998954], ""type"": ""Point""}",0,30.2906768,88,Signage,Sign - Public Transport,32010,1261560,637409,Sign - Public Transport 1 Panel,1261560,22131,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.82357696553344, 144.97021045708078","{""coordinates"": [144.97021045708078, -37.82357696553344], ""type"": ""Point""}",0,35.24283401,175,Signage,Sign - Public Transport,32385,1239395,566451,Sign - Public Transport 1 Panel,1239395,22466,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79828271711812, 144.9206180551749","{""coordinates"": [144.9206180551749, -37.79828271711812], ""type"": ""Point""}",0,17.94134959,130,Signage,Sign - Public Transport,33087,1235578,559172,Sign - Public Transport 1 Panel,1235578,21845,Sign - Public Transport 1 Panel Bus Stop Type 12,P.16
"-37.80581892901135, 144.95574943791024","{""coordinates"": [144.95574943791024, -37.80581892901135], ""type"": ""Point""}",0,13.61319889,118,Signage,Sign - Public Transport,33808,1257172,109829,Sign - Public Transport 1 Panel,1257172,20953,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.795242474806884, 144.94679942011058","{""coordinates"": [144.94679942011058, -37.795242474806884], ""type"": ""Point""}",0,18.06322576,225,Signage,Sign - Public Transport,34067,1249773,100076,Sign - Public Transport 1 Panel,1249773,21232,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.77697303920087, 144.94970928774234","{""coordinates"": [144.94970928774234, -37.77697303920087], ""type"": ""Point""}",0,36.15520837,163,Signage,Sign - Public Transport,35126,1244488,639767,Sign - Public Transport 1 Panel,1244488,30708,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79836645634628, 144.94459154393613","{""coordinates"": [144.94459154393613, -37.79836645634628], ""type"": ""Point""}",0,33.08519101,348,Signage,Sign - Public Transport,35336,1249845,104584,Sign - Public Transport 1 Panel,1249845,21166,Sign - Public Transport 1 Panel Bus Stop Type 12,P.16
"-37.83884804951157, 144.97654745650496","{""coordinates"": [144.97654745650496, -37.83884804951157], ""type"": ""Point""}",0,63.68983374,311,Signage,Sign - Public Transport,35673,1255102,545595,Sign - Public Transport 1 Panel,1255102,22472,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79575422957359, 144.95827417192294","{""coordinates"": [144.95827417192294, -37.79575422957359], ""type"": ""Point""}",0,53.11278613,158,Signage,Sign - Public Transport,35677,1579927,108456,Sign - Public Transport 1 Panel,1579927,22603,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.812490976626215, 144.95370614040704","{""coordinates"": [144.95370614040704, -37.812490976626215], ""type"": ""Point""}",0,16.14376437,99,Signage,Sign - Public Transport,36376,1252885,602160,Sign - Public Transport 1 Panel,1252885,20030,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81389991110184, 144.95734143620206","{""coordinates"": [144.95734143620206, -37.81389991110184], ""type"": ""Point""}",0,16.88512037,251,Signage,Sign - Public Transport,36659,1231223,110101,Sign - Public Transport 1 Panel,1231223,20185,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81689800649741, 144.9618384108209","{""coordinates"": [144.9618384108209, -37.81689800649741], ""type"": ""Point""}",0,24.66895752,72,Signage,Sign - Public Transport,36738,1236979,579386,Sign - Public Transport 1 Panel,1236979,20114,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
